name,copies,type,ID
D01,10.24836763,D,1
D02,10.58179977,D,2
D04,10.20255547,D,3
D05,9.16581794,D,4
D06,10.32119713,D,5
D07,10.21897037,D,6
D09,10.59303047,D,7
D10,10.31244412,D,8
D11,10.41373666,D,9
D12,9.462825223,D,10
D13,9.728633572,D,11
D15,8.171684338,D,12
D18,9.782712144,D,13
D19,9.611075312,D,14
D20,10.33579485,D,15
D21,10.36839463,D,16
D22,10.24346271,D,17
D23,8.958617323,D,18
D25,8.868911321,D,19
D26,9.160750866,D,20
D27,8.78283503,D,21
D28,8.51324768,D,22
D29,9.742595766,D,23
D30,9.210031571,D,24
D31,11.22246779,D,25
D32,10.63683869,D,26
D33,10.872917,D,27
D34,10.84397774,D,28
D35,10.80730443,D,29
D36,10.66490676,D,30
D37,11.23563759,D,31
D38,11.28354921,D,32
D39,10.914047,D,33
D40,10.15575598,D,34
D41,10.80605097,D,35
D42,10.14094432,D,36
D43,11.02647181,D,37
D44,10.84998192,D,38
D45,11.547532,D,39
D46,10.7998485,D,40
D47,11.36577192,D,41
D48,11.08332272,D,42
D49,10.59475754,D,43
D50,10.80867882,D,44
D51,10.89259839,D,45
D52,11.39349083,D,46
D53,11.0804401,D,47
D54,9.709403215,D,48
D55,10.18991486,D,49
D56,10.67917571,D,50
P01,7.698553229,P,1
P02,8.791749299,P,2
P04,9.025176869,P,3
P05,8.461396469,P,4
P06,8.116216304,P,5
P07,7.774503499,P,6
P09,9.002857112,P,7
P10,7.585599366,P,8
P11,8.53561715,P,9
P12,8.720156408,P,10
P13,8.538860191,P,11
P15,8.807554781,P,12
P18,9.816192988,P,13
P19,8.082772449,P,14
P20,7.975833214,P,15
P21,8.343185181,P,16
P22,7.365965446,P,17
P23,8.074278449,P,18
P25,8.870200576,P,19
P26,7.198430975,P,20
P27,9.062414025,P,21
P28,8.693275796,P,22
P29,9.382178404,P,23
P30,7.496544906,P,24
P31,9.908747875,P,25
P32,10.32077508,P,26
P33,9.848057207,P,27
P34,9.611414509,P,28
P35,9.891524523,P,29
P36,10.34884315,P,30
P37,10.11386778,P,31
P38,9.653045973,P,32
P39,10.32675418,P,33
P40,10.51871683,P,34
P41,9.993417606,P,35
P42,10.02120858,P,36
P43,9.937559133,P,37
P44,10.41338772,P,38
P45,8.425444467,P,39
P46,9.943118773,P,40
P47,8.531742862,P,41
P48,9.205198164,P,42
P49,9.732875415,P,43
P50,10.62195913,P,44
P51,10.32806815,P,45
P52,10.89044338,P,46
P53,10.21361611,P,47
P54,8.84362668,P,48
P55,10.0392488,P,49
P56,10.49439498,P,50
R01,11.26611879,R,1
R02,11.84211648,R,2
R04,10.14600397,R,3
R05,8.088798264,R,4
R06,11.95716391,R,5
R07,11.61436153,R,6
R09,12.52306536,R,7
R10,12.50714109,R,8
R11,12.00913428,R,9
R12,11.36282163,R,10
R13,11.84253028,R,11
R15,8.739392736,R,12
R18,8.406393918,R,13
R19,12.26933849,R,14
R20,12.59275606,R,15
R21,11.23133162,R,16
R22,10.28665673,R,17
R23,9.239987672,R,18
R25,10.08738069,R,19
R26,9.253279643,R,20
R27,9.233039074,R,21
R28,8.534273406,R,22
R29,10.86023913,R,23
R30,8.913211248,R,24
R31,8.975038974,R,25
R32,9.444726899,R,26
R33,9.967048016,R,27
R34,9.955936148,R,28
R35,8.957815622,R,29
R36,9.472794971,R,30
R37,9.931828592,R,31
R38,9.997567612,R,32
R39,11.61222569,R,33
R40,10.7923057,R,34
R41,10.93959472,R,35
R42,9.685824381,R,36
R43,10.50133066,R,37
R44,10.57007874,R,38
R45,11.36941897,R,39
R46,10.81495556,R,40
R47,11.36298851,R,41
R48,11.99163331,R,42
R49,9.723238799,R,43
R50,9.590717367,R,44
R51,10.75113487,R,45
R52,11.92441514,R,46
R53,9.020199863,R,47
R54,9.080237549,R,48
R55,9.608971732,R,49
R56,11.11862719,R,50
S01,10.4747815,S,1
S02,11.0448094,S,2
S04,10.36947079,S,3
S05,9.654227922,S,4
S06,10.27745223,S,5
S07,10.49492091,S,6
S09,11.0975068,S,7
S10,10.69004871,S,8
S11,10.77198312,S,9
S12,9.66795397,S,10
S13,9.85009376,S,11
S15,8.294410668,S,12
S18,10.35536199,S,13
S19,10.51959911,S,14
S20,10.21173453,S,15
S21,10.71601058,S,16
S22,10.83634336,S,17
S23,8.969256998,S,18
S25,10.07075427,S,19
S26,9.745556248,S,20
S27,10.00318621,S,21
S28,10.10351901,S,22
S29,10.59957367,S,23
S30,10.27597001,S,24
S31,11.21238076,S,25
S32,11.05070429,S,26
S33,10.97197623,S,27
S34,11.53917846,S,28
S35,11.19515741,S,29
S36,11.33404487,S,30
S37,10.93675681,S,31
S38,11.58080992,S,32
S39,11.52316459,S,33
S40,11.41444628,S,34
S41,11.44956355,S,35
S42,11.56429753,S,36
S43,11.4732205,S,37
S44,11.55948374,S,38
S45,11.41492216,S,39
S46,11.48744489,S,40
S47,11.50133783,S,41
S48,11.42810048,S,42
S49,11.33710719,S,43
S50,11.32231411,S,44
S51,11.20423549,S,45
S52,11.79918178,S,46
S53,11.43029083,S,47
S54,9.784360933,S,48
S55,11.35104917,S,49
S56,11.45563572,S,50
T01,10.6461957,T,1
T02,11.13740987,T,2
T04,10.46701386,T,3
T05,9.05809,T,4
T06,10.59664406,T,5
T07,10.61156899,T,6
T09,10.91362498,T,7
T10,10.50446781,T,8
T11,10.74547304,T,9
T12,9.979413832,T,10
T13,10.14671397,T,11
T15,9.405890126,T,12
T18,8.794793326,T,13
T19,10.62017021,T,14
T20,10.79679309,T,15
T21,10.74789819,T,16
T22,11.26085337,T,17
T23,8.597020387,T,18
T25,9.733549888,T,19
T26,8.20140357,T,20
T27,9.789142707,T,21
T28,10.14150803,T,22
T29,10.40139268,T,23
T30,8.692292466,T,24
T31,11.26611292,T,25
T32,11.40235188,T,26
T33,11.28119785,T,27
T34,11.14078393,T,28
T35,11.24888957,T,29
T36,11.63453993,T,30
T37,11.24597842,T,31
T38,11.18241539,T,32
T39,11.58256409,T,33
T40,11.83486268,T,34
T41,11.55395647,T,35
T42,11.36724586,T,36
T43,11.52319245,T,37
T44,11.68981158,T,38
T45,11.58050185,T,39
T46,11.34656535,T,40
T47,11.40370201,T,41
T48,11.54718225,T,42
T49,11.36901442,T,43
T50,11.51963012,T,44
T51,11.21560551,T,45
T52,11.54954673,T,46
T53,11.03084518,T,47
T54,8.670036738,T,48
T55,11.60506898,T,49
T56,11.39313026,T,50
