1,Sample,group
2,RS13D,site13
3,RS13P,site13
4,RS13R,site13
5,RS13S,site13
6,RS13T,site13
7,RS15D,site15
8,RS15P,site15
9,RS15R,site15
10,RS15S,site15
11,RS15T,site15
12,RS17D,site17
13,RS17P,site17
14,RS17R,site17
15,RS17S,site17
16,RS17T,site17
17,RS19D,site19
18,RS19P,site19
19,RS19R,site19
20,RS19S,site19
21,RS19T,site19
22,RS21D,site21
23,RS21P,site21
24,RS21R,site21
25,RS21S,site21
26,RS21T,site21
27,RS23D,site23
28,RS23P,site23
29,RS23R,site23
30,RS23S,site23
31,RS23T,site23
32,RS26D,site26
33,RS26P,site26
34,RS26R,site26
35,RS26S,site26
36,RS26T,site26
37,RS29D,site29
38,RS29P,site29
39,RS29R,site29
40,RS29S,site29
41,RS29T,site29
